sun_sign,rising_sign,title,interpretation
virgo,pisces,Virgo Sun / Pisces Rising,"Your practical Virgo Sun is softened by a compassionate Pisces rising. You might appear more intuitive and artistic, but your core is still about service and improvement, often expressed through helpfulness and a gentle approach to refining details. ---"
libra,aries,Libra Sun / Aries Rising,"Your diplomatic Libra Sun is projected through a dynamic Aries rising. You might appear assertive and initiating initially, but your core is about balance and relationships. Your drive is channeled into seeking fair action and initiating connections."
libra,taurus,Libra Sun / Taurus Rising,"Your harmonious Libra Sun is grounded by a steady Taurus rising. You might appear more patient and appreciative of comfort, but your core is still about beauty and relationships, which you express through stable and pleasing means."
libra,gemini,Libra Sun / Gemini Rising,"Your diplomatic Libra Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core is still about exchanging ideas harmoniously, perhaps focusing on fairness in conversations."
libra,cancer,Libra Sun / Cancer Rising,"Your harmonious Libra Sun is softened by a nurturing Cancer rising. You might appear more emotionally responsive and caring, but your core is still about balance and relationships, which you express through creating comfortable and secure connections."
libra,leo,Libra Sun / Leo Rising,"Your charming Libra Sun is amplified by a charismatic Leo rising. You might appear more outgoing and expressive, but your core desire is for harmonious relationships and appreciation, which you express through warmth and a desire to please in social settings."
libra,virgo,Libra Sun / Virgo Rising,"Your diplomatic Libra Sun is channeled through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about fairness and relationships, which you pursue with a desire for precision and improvement in your interactions."
libra,libra,Libra Sun / Libra Rising,"Your core Libra essence and outward presentation are aligned. You appear diplomatic, harmonious, relationship-focused, and valuing beauty and fairness. Your social interactions are graceful and balanced."
libra,scorpio,Libra Sun / Scorpio Rising,"Your balanced Libra Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with deep intensity and a formidable will, driven to transform relationships and assert your needs for balance and fairness with profound depth."
libra,sagittarius,Libra Sun / Sagittarius Rising,"Your diplomatic Libra Sun is projected through an optimistic, expansive Sagittarius rising. You might appear more adventurous and philosophical, but your core desire is for harmonious connections and fair exchange, which you seek through broad exploration and open communication."
libra,capricorn,Libra Sun / Capricorn Rising,"Your charming Libra Sun is channeled through a disciplined Capricorn rising. You might appear more serious and responsible, but your core desire is for balanced relationships and social harmony, which you pursue with a focus on building lasting connections and maintaining fairness."
libra,aquarius,Libra Sun / Aquarius Rising,"Your diplomatic Libra Sun is expressed through an unconventional Aquarius rising. You might appear unique and intellectual, but your core is still about harmonious relationships and fairness, which you seek through innovative social approaches and a focus on collective well-being."
libra,pisces,Libra Sun / Pisces Rising,"Your harmonious Libra Sun is softened by a compassionate Pisces rising. You might appear more intuitive and artistic, but your core is still about balance and relationships, often expressed through empathy and a desire for soulful connection. ---"
scorpio,aries,Scorpio Sun / Aries Rising,"Your intense Scorpio Sun is projected through a dynamic Aries rising. You might appear energetic and initiating, but your core is deeply powerful and transformative. Your drive is channeled into confronting and regenerating situations."
scorpio,taurus,Scorpio Sun / Taurus Rising,"Your intense Scorpio Sun is grounded by a steady Taurus rising. You might appear more patient and persistent, but your core is still about deep transformation and gaining control over your resources and values, which you do with unwavering focus."
scorpio,gemini,Scorpio Sun / Gemini Rising,"Your probing Scorpio Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core is still about uncovering hidden meanings and communicating with intensity. Your communication has a transformative edge."
scorpio,cancer,Scorpio Sun / Cancer Rising,"Your emotional Scorpio Sun is softened by a nurturing Cancer rising. You might appear more caring and security-oriented, but your core is still about deep emotional intensity and transformation, which you express through profound connections and protective instincts."
scorpio,leo,Scorpio Sun / Leo Rising,"Your intense Scorpio Sun is amplified by a charismatic Leo rising. You might appear more outwardly expressive and confident, but your core drive is for transformation and power, which you express with a magnetic and often dramatic flair. Your passions are profound."
scorpio,virgo,Scorpio Sun / Virgo Rising,"Your probing Scorpio Sun is channeled through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about transformation and uncovering hidden truths, which you do with intense focus and a desire for profound improvement."
scorpio,libra,Scorpio Sun / Libra Rising,"Your intense Scorpio Sun is balanced by a diplomatic Libra rising. You might appear more focused on relationships and fairness, but your core is still about transforming connections and asserting your needs for depth and honesty. Your pursuit of balance has a powerful, transformative edge."
scorpio,scorpio,Scorpio Sun / Scorpio Rising,"Your core Scorpio essence and outward presentation are aligned. You appear intense, magnetic, resourceful, and driven by a deep desire for transformation and power."
scorpio,sagittarius,Scorpio Sun / Sagittarius Rising,"Your intense Scorpio Sun is projected through an optimistic, expansive Sagittarius rising. You might appear more adventurous and philosophical, but your core desire is for profound transformation and uncovering hidden truths, which you seek through exploration and challenging beliefs."
scorpio,capricorn,Scorpio Sun / Capricorn Rising,"Your intense Scorpio Sun is amplified by a disciplined Capricorn rising. You might appear highly ambitious and responsible, with your drive for transformation finding expression through strategic goal-setting and wielding power to achieve lasting change."
scorpio,aquarius,Scorpio Sun / Aquarius Rising,"Your intense Scorpio Sun is expressed through an unconventional Aquarius rising. You might appear unique and intellectual, but your core is still about profound transformation and challenging societal norms with a powerful, insightful approach. Your pursuit of change has a rebellious edge."
scorpio,pisces,Scorpio Sun / Pisces Rising,"Your intense Scorpio Sun is softened by a compassionate Pisces rising. You might appear more intuitive and artistic, but your core is still about deep emotional intensity and transformation, often expressed through empathy and a desire for soulful, profound connections. ---"
sagittarius,aries,Sagittarius Sun / Aries Rising,"Your expansive Sagittarius Sun is projected through a dynamic Aries rising. You appear energetic and initiating, with your core drive for exploration and truth amplified by Aries's pioneering spirit. You're eager to start new journeys."
sagittarius,taurus,Sagittarius Sun / Taurus Rising,"Your optimistic Sagittarius Sun is grounded by a steady Taurus rising. You might appear more patient and appreciative of comfort, but your core is still about broad exploration and philosophical growth, which you express through stable and reliable means."
sagittarius,gemini,Sagittarius Sun / Gemini Rising,"Your philosophical Sagittarius Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core is still about gathering and sharing knowledge, perhaps with a focus on broad concepts and diverse ideas."
sagittarius,cancer,Sagittarius Sun / Cancer Rising,"Your optimistic Sagittarius Sun is softened by a nurturing Cancer rising. You might appear more emotionally responsive and caring, but your core is still about seeking meaning and expansion, often expressed through sharing optimistic beliefs within a secure emotional context."
sagittarius,leo,Sagittarius Sun / Leo Rising,"Your expansive Sagittarius Sun is amplified by a charismatic Leo rising. You appear enthusiastic and radiant, with your core drive for exploration and truth finding expression through inspiring leadership and creative expression."
sagittarius,virgo,Sagittarius Sun / Virgo Rising,"Your philosophical Sagittarius Sun is channeled through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about seeking knowledge and understanding, which you pursue with a desire for accuracy and practical application."
sagittarius,libra,Sagittarius Sun / Libra Rising,"Your optimistic Sagittarius Sun is balanced by a diplomatic Libra rising. You might appear more focused on harmony and relationships, but your core is still about exploring beliefs and seeking truth, which you do through fair communication and consideration of others' perspectives."
sagittarius,scorpio,Sagittarius Sun / Scorpio Rising,"Your expansive Sagittarius Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with deep intensity and a formidable will, driven to transform your understanding of the world and uncover profound truths. Your quest for knowledge has a penetrating edge."
sagittarius,sagittarius,Sagittarius Sun / Sagittarius Rising,"Your core Sagittarius essence and outward presentation are aligned. You appear optimistic, adventurous, philosophical, and freedom-loving. Your core motivation is to explore, learn, and expand your horizons."
sagittarius,capricorn,Sagittarius Sun / Capricorn Rising,"Your expansive Sagittarius Sun is channeled through a disciplined Capricorn rising. You might appear more serious and goal-oriented, but your core desire is for exploration and knowledge, which you pursue with a structured approach and a focus on long-term learning and wisdom."
sagittarius,aquarius,Sagittarius Sun / Aquarius Rising,"Your optimistic Sagittarius Sun is expressed through an unconventional Aquarius rising. You might appear unique and intellectual, but your core is still about expanding your horizons and seeking truth, which you do through innovative ideas and a focus on progressive philosophies."
sagittarius,pisces,Sagittarius Sun / Pisces Rising,"Your expansive Sagittarius Sun is softened by a compassionate Pisces rising. You might appear more intuitive and artistic, but your core is still about seeking meaning and sharing wisdom, often expressed through empathy and a connection to spiritual or philosophical insights. ---"
capricorn,aries,Capricorn Sun / Aries Rising,"Your disciplined Capricorn Sun is projected through a dynamic Aries rising. You might appear energetic and initiating, but your core is about structured ambition and responsibility. Your drive is channeled into achieving long-term goals with a sense of urgency."
capricorn,taurus,Capricorn Sun / Taurus Rising,"Your ambitious Capricorn Sun is grounded by a steady Taurus rising. You might appear more patient and appreciative of comfort, but your core is still about building security and lasting value, which you express through persistent and reliable efforts. Both are Earth signs focused on building."
capricorn,gemini,Capricorn Sun / Gemini Rising,"Your disciplined Capricorn Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core is still about gathering information and processing it with a strategic, long-term focus. Your communication serves your ambition."
capricorn,cancer,Capricorn Sun / Cancer Rising,"Your responsible Capricorn Sun is softened by a nurturing Cancer rising. You might appear more emotionally responsive and caring, but your core is still about building security and establishing responsibility, often expressed through caring for others and providing a stable foundation."
capricorn,leo,Capricorn Sun / Leo Rising,"Your ambitious Capricorn Sun is amplified by a charismatic Leo rising. You might appear more outwardly expressive and confident, with your drive for achievement finding expression through leadership and commanding presence. Your ambition has a regal flair."
capricorn,virgo,Capricorn Sun / Virgo Rising,"Your disciplined Capricorn Sun is expressed through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about structured achievement and responsible execution, which you pursue with a keen eye for practical application."
capricorn,libra,Capricorn Sun / Libra Rising,"Your ambitious Capricorn Sun is balanced by a diplomatic Libra rising. You might appear more focused on harmony and relationships, but your core is still about building lasting structures and achieving goals, which you do through skillful negotiation and fair dealings."
capricorn,scorpio,Capricorn Sun / Scorpio Rising,"Your ambitious Capricorn Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with deep intensity and a formidable will, driven to transform and achieve goals with unwavering focus. Your ambition has a penetrating, powerful edge."
capricorn,sagittarius,Capricorn Sun / Sagittarius Rising,"Your disciplined Capricorn Sun is projected through an optimistic, expansive Sagittarius rising. You might appear more adventurous and philosophical, but your core desire is for structure and long-term achievement, which you seek through exploration and learning with a focus on gaining wisdom."
capricorn,capricorn,Capricorn Sun / Capricorn Rising,"Your core Capricorn essence and outward presentation are aligned. You appear responsible, disciplined, ambitious, and goal-oriented, with a strong drive to achieve and build lasting structures."
capricorn,aquarius,Capricorn Sun / Aquarius Rising,"Your ambitious Capricorn Sun is expressed through an unconventional Aquarius rising. You might appear unique and intellectual, but your core is still about structured achievement and long-term goals, which you pursue through innovative methods and a focus on future advancement."
capricorn,pisces,Capricorn Sun / Pisces Rising,"Your responsible Capricorn Sun is softened by a compassionate Pisces rising. You might appear more intuitive and artistic, but your core is still about discipline and responsibility, often expressed through dedicated service and a gentle approach to achieving goals. ---"
aquarius,aries,Aquarius Sun / Aries Rising,"Your innovative Aquarius Sun is projected through a dynamic Aries rising. You might appear energetic and assertive, but your core is about rebellion and intellectual freedom. Your drive is channeled into initiating change and unique ideas."
aquarius,taurus,Aquarius Sun / Taurus Rising,"Your unconventional Aquarius Sun is grounded by a steady Taurus rising. You might appear more patient and appreciative of comfort, but your core is still about originality and intellectual pursuits, which you express through stable and unique means."
aquarius,gemini,Aquarius Sun / Gemini Rising,"Your intellectual Aquarius Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core is still about unique ideas and intellectual exploration, perhaps sharing progressive concepts with others."
aquarius,cancer,Aquarius Sun / Cancer Rising,"Your unconventional Aquarius Sun is softened by a nurturing Cancer rising. You might appear more emotionally responsive and caring, but your core is still about independence and intellectual pursuits, often expressed through fostering emotional freedom and unique connections."
aquarius,leo,Aquarius Sun / Leo Rising,"Your innovative Aquarius Sun is amplified by a charismatic Leo rising. You might appear more outwardly expressive and confident, but your core desire is for originality and intellectual expression, which you project with a unique flair and a focus on progressive ideals."
aquarius,virgo,Aquarius Sun / Virgo Rising,"Your intellectual Aquarius Sun is channeled through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about innovation and unique ideas, which you pursue with precision and a focus on improving systems."
aquarius,libra,Aquarius Sun / Libra Rising,"Your unconventional Aquarius Sun is balanced by a diplomatic Libra rising. You might appear more focused on harmony and relationships, but your core is still about intellectual connection and unique social interactions, which you pursue through fair and considerate communication."
aquarius,scorpio,Aquarius Sun / Scorpio Rising,"Your innovative Aquarius Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with deep intensity and a formidable will, driven to transform societal norms and assert your unique intellectual perspective with profound focus."
aquarius,sagittarius,Aquarius Sun / Sagittarius Rising,"Your unconventional Aquarius Sun is projected through an optimistic, expansive Sagittarius rising. You might appear more adventurous and philosophical, but your core desire is for intellectual freedom and originality, which you seek through exploration and challenging established beliefs with a progressive outlook."
aquarius,capricorn,Aquarius Sun / Capricorn Rising,"Your innovative Aquarius Sun is channeled through a disciplined Capricorn rising. You might appear more serious and responsible, but your core desire is for unique breakthroughs and intellectual progress, which you pursue with a focus on long-term vision and structured innovation."
aquarius,aquarius,Aquarius Sun / Aquarius Rising,"Your core Aquarius essence and outward presentation are aligned. You appear original, unconventional, intellectual, and humanitarian, with a desire for innovation and social progress."
